Parent Sample Name,Summary: Ending O2 ppm,Summary: Laser Power (W),Summary: Measured Pre-Time,Summary: Measured Weld Time,Summary: Robot Travel Speed (mm/s),Summary: Starting O2 ppm,Summary: Total Length,Summary: Wire Feed Speed (mm/s),Summary: Wire Power (kW),Pre-Weld Data: PreTime Recorded (s),Weld Ignition Stage Data: Laser Pre-Time (s),Weld Ignition Stage Data: Wire Power (kW),Weld Fill Stage Data: Fill Time (s),Weld Fill Stage Data: Heat Wirefeed Speed (mm/s),Weld End Stage Data: Heat Wirefeed Speed (mm/s),Post-Weld Data: Laser Off Delay (s),Power / Velocity,Bead width (mm),Fusion zone area (mm^2),Fusion zone width (mm),Fusion zone depth (mm),Fusion zone depth at 50% fusion zone width (mm),Fusion zone depth at 75% fusion zone width (mm),Beta grain length // build (microns),Beta grain length perp. build (microns),Alpha lath thickness (microns),Hardness (HV),"Bead quality (1-intermittent, 2-variable, 3-rippled, 4-smooth)"
N00014-001-008,42,6000,2.077,19.106,15,41,195.7,40,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,420,7.18,6.326,7.403,1.272,0.585,0.4015,145.9584,511.2955,NA,NA,1
N00014-001-010,35,6000,2.079,13.263,15,35,105.9,45,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,420,9.066,18.159,9.32,2.725,0.8705,0.547,234.4912,338.658,1.382222222,NA,1
N00014-001-011,35,6000,2.077,11.408,15,35,105.9,50,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,420,7.447,10.737,7.596,2.209,0.477,0.6465,275.6843529,324.2214,1.275,370,1
N00014-001-012,34,6000,2.081,13.501,15,34,105.9,55,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,420,7.34,12.277,7.565,2.491,0.737,0.5295,294.074381,854.164,1.203888889,NA,4
N00014-001-013,33,6000,2.077,13.683,15,33,105.9,70,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,420,7.2,12.192,7.417,2.496,0.534,0.391,258.0326923,786.4925,1.338666667,NA,4
N00014-001-014,33,6000,2.073,14.211,15,33,105.9,62.5,0.3,2.07,0.4,0.3,0.25,59.25,59.25,0.25,420,8.5,12.439,7.703,2.516,0.7335,0.5025,174.8103333,559.4173333,1.341777778,NA,3
N00014-001-015,32,6000,2.081,13.436,15,32,105.9,59,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,420,7.5,12.154,7.59,2.496,0.657,0.4995,181.5195714,430.0895,1.396777778,NA,3
N00014-001-016,32,6000,2.077,37.582,3.5,32,105.9,70,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,1800,10.3,55.631,10.445,7,1.015,0.8205,491.7687895,1544.797,1.517444444,NA,3
N00014-001-017,31,6000,2.074,62.531,3.5,31,105.9,85,0.3,2.07,0.4,0.3,0.25,59.25,59.25,0.25,1800,10.67,53.827,10.759,6.56,1.2775,0.9735,602.5484444,1135.1565,1.392333333,NA,4
N00014-001-018,31,6000,2.085,42.961,3.5,31,105.9,80,0.3,2.08,0.4,0.3,0.25,59.25,59.25,0.25,1800,10.309,58.543,10.529,7.115,1.2005,0.844,584.2248125,1100.196,1.562111111,NA,4
