"Parent Sample Name","Summary: Ending O2 ppm","Summary: Laser Power (W)","Summary: Robot Travel Speed (mm/s)","Summary: Starting O2 ppm","Summary: Wire Feed Speed (mm/s)","Summary: Wire Power (kW)","Weld Ignition Stage Data: Laser Pre-Time (s)","Weld Ignition Stage Data: Wire Power (kW)","Weld Fill Stage Data: Fill Time (s)","Weld Fill Stage Data: Heat Wirefeed Speed (mm/s)","Weld Fill Stage Data: Wire Power (kW)","Weld End Stage Data: Heat Wirefeed Speed (mm/s)","Bead quality (1-intermittent, 2-variable, 3-rippled, 4-smooth)","Bead width (mm)","Stacked Bead Height (mm)","Fusion zone area (mm^2)","Fusion zone width (mm)","Fusion zone depth (mm)","Fusion zone depth at 50% fusion zone width (mm)","Fusion zone depth at 75% fusion zone width (mm)","Beta grain length // build (microns)","Beta grain length perp. build (microns)","Heat Affected Zone Depth (mm)","Height of Transient Region (mm)","Number of Beads in Transient Region","Height of Characteristic Region (mm)","Number of Layer Bands in Characteristic Region","Number of Beads in Characteristic Region","Total Number of Beads","Area of Transient Region (mm^2)","Area of Characteristic Region (mm^2)","MeanSpacing","SDSpacing"
"N00014-002-004",28,3000,3.5,34,50,0.6,0.2,0.3,0.15,10,0.3,30,3,7.9,24.14,177.273,7.25,25.659,1.626,1.239,844.8,2160,2.293,11.827,3,11.989,5,4,6,83.609,82.89,2.947,0.285
"N00014-002-005",24,3000,15,30,30,0.3,0.2,0.3,0.15,10,0.3,30,3,5.06,4.37,18.094,5.431,0.828,0.77,0.617,181.321,340.4,1.331,3.677,2,0.578,2,2,4,10.515,3.842,0.622,NA
"N00014-002-009",21,6000,3.5,26,45,0.3,0.2,0.3,0.15,10,0.3,30,3,12.6,20.64,253.872,12.295,3.02,2.522,1.882,609.425,3143.53,4.374,13.761,4,6.672,7,5,8,155.334,70.244,1.429,0.284
"N00014-002-030",10,3000,2,25,16.98,0,0.5,0,0.15,16.98,0,16.98,3,9.31,29.63,267.73,8.402,2.391,2.244,1.882,967.07,2138.57,3.528,12.535,5,17.421,13,11,15,144.836,105.406,1.498,0.182
"N00014-002-031",11,3000,3.5,11,18.46,0,0.5,0,0.15,18.46,0,18.46,3,7.34,22.88,163.905,7.835,1.888,1.649,1.341,1106.29,1337.64,2.781,10.218,5,12.53,13,11,15,67.428,84.557,1.122,0.172
"N00014-002-032",13,3000,5,18,19.09,0,0.5,0,0.15,19.09,0,19.09,3,6.2,19.46,118.058,6.972,1.362,1.302,1.037,698.92,2980,2.25,9.783,4,9.584,12,10,13,53.946,56.09,0.954,0.112
"N00014-002-033",14,3000,7.5,18,19.44,0,0.5,0,0.15,19.44,0,19.44,4,5.92,16.03,81.482,6.527,1.175,1.097,0.9,NA,NA,1.943,6.683,4,9.244,11,11,15,28.883,46.159,0.949,0.665
"N00014-002-034",17,6000,5,22,45.87,0.2,0.2,0,0.1,45.87,0.2,45.87,3,11.85,27.86,289.333,11.175,2.397,2.131,1.596,NA,NA,3.48,15.086,4,11.911,11,6,10,155.678,112.421,1.36,0.96
"N00014-002-035",23,6000,5,29,55.05,0.2,0.2,0,0.1,55.05,0.2,55.05,4,11.96,31.98,NA,10.685,2.473,NA,NA,NA,NA,NA,15.741,NA,15.905,13,NA,NA,NA,NA,1.384,0.128
"N00014-002-036",32,6000,10,-29,47.98,0.2,0.2,0,0.1,47.98,0.2,47.98,3,6.82,13.37,NA,8.955,1.75,NA,NA,NA,NA,NA,8.22,4,3.543,6,5,8,NA,NA,0.875,0.123
"N00014-002-037",14,6000,10,22,47.01,0.15,0.2,0,0.1,47.01,0.15,47.01,3,7.61,21.21,NA,9.232,1.839,NA,NA,NA,NA,NA,11.113,4,9.417,11,10,14,NA,NA,1.042,0.709
"N00014-002-038",24,6000,10,27,46.05,0.1,0.2,0,0.1,46.05,0.1,46.05,2,8.21,NA,NA,9.05,1.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N00014-002-A04",58,6000,6.58,64,58.25,0.3,0.2,0.3,0.15,10,0.3,30,4,12.33,NA,214.267,10.955,1.775,1.546,1.117,592.14,10614.25,2.489,12.669,3,7.447,9,4,6,130.532,68.74,1.015,0.279
"N00014-002-A05",14,3000,2,23,25.8,0.15,0.2,0.3,0.15,10,0.3,30,4,9.69,42.79,381.281,8.406,44.428,1.319,0.877,2132.33,2253.68,2.765,14.02,4,28.8,13,11,15,122.795,248.777,2.315,0.207
"N00014-002-A06",13,3000,3.5,26,25.1,0.15,0.2,0.3,0.15,10,0.3,30,3,7.77,30.04,216.542,7.514,31.004,1.135,0.807,1072.648,2274.46,2.92,11.153,5,18.415,13,11,15,79.956,127.847,1.624,0.149
"N00014-002-A07",7,6000,5,18,60.1,0.3,0.2,0.3,0.15,10,0.3,30,4,11.74,33.76,363.097,10.427,36.727,1.637,1.016,863.571,4083.29,NA,16.64,5,18.068,13,9,14,172.121,176.485,1.552,0.2
